timestamp,value,topic,mV
2017-05-21T18:48:36Z,359,tele/esp/soil,1.077
2017-05-21T18:49:36Z,361,tele/esp/soil,1.083
2017-05-21T18:50:36Z,362,tele/esp/soil,1.086
2017-05-21T18:51:36Z,362,tele/esp/soil,1.086
2017-05-21T18:52:36Z,358,tele/esp/soil,1.074
2017-05-21T18:53:36Z,354,tele/esp/soil,1.062
2017-05-21T18:54:36Z,356,tele/esp/soil,1.068
2017-05-21T18:55:36Z,352,tele/esp/soil,1.056
2017-05-21T18:56:36Z,358,tele/esp/soil,1.074
2017-05-21T18:57:36Z,355,tele/esp/soil,1.065
2017-05-21T18:58:36Z,357,tele/esp/soil,1.071
2017-05-21T18:59:36Z,356,tele/esp/soil,1.068
2017-05-21T19:00:36Z,358,tele/esp/soil,1.074
2017-05-21T19:01:36Z,359,tele/esp/soil,1.077
2017-05-21T19:02:36Z,358,tele/esp/soil,1.074
2017-05-21T19:03:36Z,357,tele/esp/soil,1.071
2017-05-21T19:04:36Z,358,tele/esp/soil,1.074
2017-05-21T19:05:36Z,356,tele/esp/soil,1.068
2017-05-21T19:06:36Z,358,tele/esp/soil,1.074
2017-05-21T19:07:36Z,356,tele/esp/soil,1.068
2017-05-21T19:08:36Z,355,tele/esp/soil,1.065
2017-05-21T19:09:36Z,357,tele/esp/soil,1.071
2017-05-21T19:10:36Z,358,tele/esp/soil,1.074
2017-05-21T19:11:36Z,357,tele/esp/soil,1.071
2017-05-21T19:12:36Z,357,tele/esp/soil,1.071
2017-05-21T19:13:36Z,356,tele/esp/soil,1.068
2017-05-21T19:14:36Z,358,tele/esp/soil,1.074
2017-05-21T19:15:36Z,357,tele/esp/soil,1.071
2017-05-21T19:16:36Z,355,tele/esp/soil,1.065
2017-05-21T19:17:36Z,357,tele/esp/soil,1.071
2017-05-21T19:18:36Z,356,tele/esp/soil,1.068
2017-05-21T19:19:36Z,358,tele/esp/soil,1.074
2017-05-21T19:20:36Z,358,tele/esp/soil,1.074
2017-05-21T19:21:36Z,356,tele/esp/soil,1.068
2017-05-21T19:22:36Z,357,tele/esp/soil,1.071
2017-05-21T19:23:36Z,357,tele/esp/soil,1.071
2017-05-21T19:24:36Z,355,tele/esp/soil,1.065
2017-05-21T19:25:36Z,358,tele/esp/soil,1.074
2017-05-21T19:26:36Z,357,tele/esp/soil,1.071
2017-05-21T19:27:36Z,356,tele/esp/soil,1.068
2017-05-21T19:28:36Z,357,tele/esp/soil,1.071
2017-05-21T19:29:36Z,356,tele/esp/soil,1.068
2017-05-21T19:30:36Z,356,tele/esp/soil,1.068
2017-05-21T19:31:36Z,358,tele/esp/soil,1.074
2017-05-21T19:32:36Z,357,tele/esp/soil,1.071
2017-05-21T19:33:36Z,357,tele/esp/soil,1.071
2017-05-21T19:34:36Z,356,tele/esp/soil,1.068
2017-05-21T19:35:36Z,355,tele/esp/soil,1.065
2017-05-21T19:36:36Z,356,tele/esp/soil,1.068
2017-05-21T19:37:37Z,357,tele/esp/soil,1.071
2017-05-21T19:38:37Z,357,tele/esp/soil,1.071
2017-05-21T19:39:37Z,358,tele/esp/soil,1.074
2017-05-21T19:40:37Z,358,tele/esp/soil,1.074
2017-05-21T19:41:37Z,359,tele/esp/soil,1.077
2017-05-21T19:42:37Z,357,tele/esp/soil,1.071
2017-05-21T19:43:37Z,359,tele/esp/soil,1.077
2017-05-21T19:44:37Z,357,tele/esp/soil,1.071
2017-05-21T19:45:37Z,358,tele/esp/soil,1.074
2017-05-21T19:46:37Z,357,tele/esp/soil,1.071
2017-05-21T19:47:37Z,357,tele/esp/soil,1.071
2017-05-21T19:48:37Z,356,tele/esp/soil,1.068
2017-05-21T19:49:37Z,356,tele/esp/soil,1.068
2017-05-21T19:50:37Z,357,tele/esp/soil,1.071
2017-05-21T19:51:37Z,356,tele/esp/soil,1.068
2017-05-21T19:52:37Z,356,tele/esp/soil,1.068
2017-05-21T19:53:37Z,355,tele/esp/soil,1.065
2017-05-21T19:54:37Z,356,tele/esp/soil,1.068
2017-05-21T19:55:37Z,353,tele/esp/soil,1.059
2017-05-21T19:56:37Z,354,tele/esp/soil,1.062
2017-05-21T19:57:37Z,356,tele/esp/soil,1.068
2017-05-21T19:58:37Z,358,tele/esp/soil,1.074
2017-05-21T19:59:37Z,359,tele/esp/soil,1.077
2017-05-21T20:00:37Z,361,tele/esp/soil,1.083
2017-05-21T20:01:37Z,364,tele/esp/soil,1.092
2017-05-21T20:02:37Z,364,tele/esp/soil,1.092
2017-05-21T20:03:37Z,368,tele/esp/soil,1.104
2017-05-21T20:04:37Z,368,tele/esp/soil,1.104
2017-05-21T20:05:37Z,369,tele/esp/soil,1.107
2017-05-21T20:06:38Z,367,tele/esp/soil,1.101
2017-05-21T20:07:38Z,368,tele/esp/soil,1.104
2017-05-21T20:08:38Z,368,tele/esp/soil,1.104
2017-05-21T20:09:38Z,366,tele/esp/soil,1.098
2017-05-21T20:10:38Z,366,tele/esp/soil,1.098
2017-05-21T20:11:38Z,365,tele/esp/soil,1.095
2017-05-21T20:12:38Z,363,tele/esp/soil,1.089
2017-05-21T20:13:38Z,364,tele/esp/soil,1.092
2017-05-21T20:14:38Z,361,tele/esp/soil,1.083
2017-05-21T20:15:38Z,361,tele/esp/soil,1.083
2017-05-21T20:16:38Z,362,tele/esp/soil,1.086
2017-05-21T20:17:38Z,359,tele/esp/soil,1.077
2017-05-21T20:18:38Z,357,tele/esp/soil,1.071
2017-05-21T20:19:38Z,357,tele/esp/soil,1.071
2017-05-21T20:20:38Z,356,tele/esp/soil,1.068
2017-05-21T20:21:38Z,353,tele/esp/soil,1.059
2017-05-21T20:22:38Z,354,tele/esp/soil,1.062
2017-05-21T20:23:38Z,353,tele/esp/soil,1.059
2017-05-21T20:24:38Z,350,tele/esp/soil,1.05
2017-05-21T20:25:38Z,351,tele/esp/soil,1.053
2017-05-21T20:26:38Z,349,tele/esp/soil,1.047
2017-05-21T20:27:38Z,346,tele/esp/soil,1.038
2017-05-21T20:28:38Z,348,tele/esp/soil,1.044
2017-05-21T20:29:38Z,344,tele/esp/soil,1.032
2017-05-21T20:30:38Z,344,tele/esp/soil,1.032
2017-05-21T20:31:38Z,343,tele/esp/soil,1.029
2017-05-21T20:32:38Z,343,tele/esp/soil,1.029
2017-05-21T20:33:38Z,342,tele/esp/soil,1.026
2017-05-21T20:34:38Z,341,tele/esp/soil,1.0230000000000001
2017-05-21T20:35:38Z,340,tele/esp/soil,1.02
2017-05-21T20:36:38Z,338,tele/esp/soil,1.014
2017-05-21T20:37:38Z,337,tele/esp/soil,1.0110000000000001
2017-05-21T20:38:38Z,336,tele/esp/soil,1.008
2017-05-21T20:39:38Z,332,tele/esp/soil,0.996
2017-05-21T20:40:38Z,333,tele/esp/soil,0.999
2017-05-21T20:41:38Z,337,tele/esp/soil,1.0110000000000001
2017-05-21T20:42:38Z,327,tele/esp/soil,0.981
2017-05-21T20:43:38Z,329,tele/esp/soil,0.987
2017-05-21T20:44:38Z,334,tele/esp/soil,1.002
2017-05-21T20:45:38Z,330,tele/esp/soil,0.99
2017-05-21T20:46:38Z,331,tele/esp/soil,0.993
2017-05-21T20:47:38Z,333,tele/esp/soil,0.999
2017-05-21T20:48:38Z,329,tele/esp/soil,0.987
2017-05-21T20:49:38Z,327,tele/esp/soil,0.981
2017-05-21T20:50:38Z,328,tele/esp/soil,0.984
2017-05-21T20:51:38Z,328,tele/esp/soil,0.984
2017-05-21T20:52:38Z,326,tele/esp/soil,0.978
2017-05-21T20:53:38Z,322,tele/esp/soil,0.966
2017-05-21T20:54:38Z,321,tele/esp/soil,0.963
2017-05-21T20:55:38Z,321,tele/esp/soil,0.963
2017-05-21T20:56:38Z,316,tele/esp/soil,0.9480000000000001
2017-05-21T20:57:38Z,316,tele/esp/soil,0.9480000000000001
2017-05-21T20:58:38Z,313,tele/esp/soil,0.9390000000000001
2017-05-21T20:59:38Z,310,tele/esp/soil,0.93
2017-05-21T21:00:38Z,313,tele/esp/soil,0.9390000000000001
2017-05-21T21:01:38Z,307,tele/esp/soil,0.921
2017-05-21T21:02:38Z,306,tele/esp/soil,0.918
2017-05-21T21:03:38Z,303,tele/esp/soil,0.909
2017-05-21T21:04:38Z,295,tele/esp/soil,0.885
2017-05-21T21:05:38Z,299,tele/esp/soil,0.897
2017-05-21T21:06:38Z,290,tele/esp/soil,0.87
2017-05-21T21:07:38Z,296,tele/esp/soil,0.888
2017-05-21T21:08:38Z,294,tele/esp/soil,0.882
2017-05-21T21:09:38Z,289,tele/esp/soil,0.867
2017-05-21T21:10:38Z,293,tele/esp/soil,0.879
2017-05-21T21:11:38Z,288,tele/esp/soil,0.864
2017-05-21T21:12:38Z,285,tele/esp/soil,0.855
2017-05-21T21:13:38Z,286,tele/esp/soil,0.858
2017-05-21T21:14:38Z,285,tele/esp/soil,0.855
2017-05-21T21:15:38Z,283,tele/esp/soil,0.849
2017-05-21T21:16:38Z,280,tele/esp/soil,0.84
2017-05-21T21:17:38Z,279,tele/esp/soil,0.837
2017-05-21T21:18:38Z,278,tele/esp/soil,0.834
2017-05-21T21:19:38Z,278,tele/esp/soil,0.834
2017-05-21T21:20:38Z,275,tele/esp/soil,0.8250000000000001
2017-05-21T21:21:38Z,275,tele/esp/soil,0.8250000000000001
2017-05-21T21:22:38Z,268,tele/esp/soil,0.804
2017-05-21T21:23:38Z,271,tele/esp/soil,0.8130000000000001
2017-05-21T21:24:38Z,268,tele/esp/soil,0.804
2017-05-21T21:25:38Z,270,tele/esp/soil,0.81
2017-05-21T21:26:38Z,266,tele/esp/soil,0.798
2017-05-21T21:27:38Z,267,tele/esp/soil,0.801
2017-05-21T21:28:38Z,266,tele/esp/soil,0.798
2017-05-21T21:29:38Z,259,tele/esp/soil,0.777
2017-05-21T21:30:38Z,259,tele/esp/soil,0.777
2017-05-21T21:31:38Z,264,tele/esp/soil,0.792
2017-05-21T21:32:38Z,262,tele/esp/soil,0.786
2017-05-21T21:33:38Z,260,tele/esp/soil,0.78
2017-05-21T21:34:38Z,263,tele/esp/soil,0.789
2017-05-21T21:35:38Z,260,tele/esp/soil,0.78
2017-05-21T21:36:38Z,253,tele/esp/soil,0.759
2017-05-21T21:37:38Z,258,tele/esp/soil,0.774
2017-05-21T21:38:38Z,250,tele/esp/soil,0.75
2017-05-21T21:39:38Z,255,tele/esp/soil,0.765
2017-05-21T21:40:38Z,257,tele/esp/soil,0.771
2017-05-21T21:41:38Z,253,tele/esp/soil,0.759
2017-05-21T21:42:38Z,253,tele/esp/soil,0.759
2017-05-21T21:43:38Z,252,tele/esp/soil,0.756
2017-05-21T21:44:38Z,254,tele/esp/soil,0.762
2017-05-21T21:45:38Z,250,tele/esp/soil,0.75
2017-05-21T21:46:38Z,249,tele/esp/soil,0.747
2017-05-21T21:47:38Z,245,tele/esp/soil,0.735
2017-05-21T21:48:38Z,242,tele/esp/soil,0.726
2017-05-21T21:49:38Z,251,tele/esp/soil,0.753
2017-05-21T21:50:38Z,249,tele/esp/soil,0.747
2017-05-21T21:51:38Z,249,tele/esp/soil,0.747
2017-05-21T21:52:38Z,242,tele/esp/soil,0.726
2017-05-21T21:53:38Z,248,tele/esp/soil,0.744
2017-05-21T21:54:38Z,249,tele/esp/soil,0.747
2017-05-21T21:57:19Z,247,tele/esp/soil,0.741
2017-05-21T21:58:19Z,245,tele/esp/soil,0.735
2017-05-21T21:59:19Z,247,tele/esp/soil,0.741
2017-05-21T22:00:19Z,242,tele/esp/soil,0.726
2017-05-21T22:01:19Z,242,tele/esp/soil,0.726
2017-05-21T22:02:19Z,246,tele/esp/soil,0.738
2017-05-21T22:03:19Z,243,tele/esp/soil,0.729
2017-05-21T22:04:19Z,244,tele/esp/soil,0.732
2017-05-21T22:05:19Z,240,tele/esp/soil,0.72
2017-05-21T22:06:19Z,238,tele/esp/soil,0.714
2017-05-21T22:07:19Z,240,tele/esp/soil,0.72
2017-05-21T22:08:19Z,239,tele/esp/soil,0.717
2017-05-21T22:09:19Z,240,tele/esp/soil,0.72
2017-05-21T22:10:19Z,244,tele/esp/soil,0.732
2017-05-21T22:11:19Z,244,tele/esp/soil,0.732
2017-05-21T22:12:19Z,241,tele/esp/soil,0.723
2017-05-21T22:13:19Z,240,tele/esp/soil,0.72
2017-05-21T22:14:19Z,240,tele/esp/soil,0.72
2017-05-21T22:15:19Z,237,tele/esp/soil,0.711
2017-05-21T22:16:19Z,241,tele/esp/soil,0.723
2017-05-21T22:17:19Z,239,tele/esp/soil,0.717
2017-05-21T22:18:19Z,241,tele/esp/soil,0.723
2017-05-21T22:19:19Z,241,tele/esp/soil,0.723
2017-05-21T22:20:19Z,239,tele/esp/soil,0.717
2017-05-21T22:21:19Z,237,tele/esp/soil,0.711
2017-05-21T22:22:19Z,239,tele/esp/soil,0.717
2017-05-21T22:24:30Z,240,tele/esp/soil,0.72
2017-05-21T22:25:30Z,239,tele/esp/soil,0.717
2017-05-21T22:26:30Z,239,tele/esp/soil,0.717
2017-05-21T22:27:30Z,237,tele/esp/soil,0.711
2017-05-21T22:28:30Z,239,tele/esp/soil,0.717
2017-05-21T22:29:30Z,235,tele/esp/soil,0.705
2017-05-21T22:30:30Z,237,tele/esp/soil,0.711
2017-05-21T22:31:31Z,236,tele/esp/soil,0.708
2017-05-21T22:32:31Z,237,tele/esp/soil,0.711
2017-05-21T22:33:31Z,238,tele/esp/soil,0.714
2017-05-21T22:34:31Z,236,tele/esp/soil,0.708
2017-05-21T22:35:31Z,233,tele/esp/soil,0.6990000000000001
2017-05-21T22:36:31Z,237,tele/esp/soil,0.711
2017-05-21T22:37:31Z,233,tele/esp/soil,0.6990000000000001
2017-05-21T22:53:37Z,240,tele/esp/soil,0.72
2017-05-21T22:54:37Z,234,tele/esp/soil,0.7020000000000001
2017-05-21T22:55:58Z,238,tele/esp/soil,0.714
2017-05-21T22:56:58Z,239,tele/esp/soil,0.717
2017-05-21T22:57:58Z,237,tele/esp/soil,0.711
2017-05-21T22:58:58Z,237,tele/esp/soil,0.711
2017-05-21T22:59:58Z,235,tele/esp/soil,0.705
2017-05-21T23:00:58Z,238,tele/esp/soil,0.714
2017-05-21T23:01:58Z,239,tele/esp/soil,0.717
2017-05-21T23:18:49Z,236,tele/esp/soil,0.708
2017-05-21T23:24:11Z,240,tele/esp/soil,0.72
2017-05-21T23:25:11Z,237,tele/esp/soil,0.711
2017-05-21T23:30:18Z,237,tele/esp/soil,0.711
2017-05-21T23:33:48Z,234,tele/esp/soil,0.7020000000000001
2017-05-21T23:34:48Z,236,tele/esp/soil,0.708
2017-05-21T23:35:48Z,232,tele/esp/soil,0.6960000000000001
2017-05-21T23:36:48Z,233,tele/esp/soil,0.6990000000000001
2017-05-21T23:37:48Z,233,tele/esp/soil,0.6990000000000001
2017-05-21T23:38:48Z,236,tele/esp/soil,0.708
2017-05-21T23:39:48Z,238,tele/esp/soil,0.714
2017-05-21T23:40:48Z,234,tele/esp/soil,0.7020000000000001
2017-05-21T23:41:48Z,235,tele/esp/soil,0.705
2017-05-21T23:42:48Z,236,tele/esp/soil,0.708
2017-05-23T00:11:51Z,902,tele/esp/soil/1,2.706
2017-05-23T00:11:52Z,0,tele/esp/soil/2,0
2017-05-23T00:11:52Z,4,tele/esp/soil/3,0.012
2017-05-23T00:12:21Z,891,tele/esp/soil/1,2.673
2017-05-23T00:12:21Z,0,tele/esp/soil/2,0
2017-05-23T00:12:21Z,4,tele/esp/soil/3,0.012
2017-05-23T00:12:51Z,893,tele/esp/soil/1,2.6790000000000003
2017-05-23T00:12:51Z,0,tele/esp/soil/2,0
2017-05-23T00:12:51Z,4,tele/esp/soil/3,0.012
2017-05-23T00:13:21Z,891,tele/esp/soil/1,2.673
2017-05-23T00:13:21Z,0,tele/esp/soil/2,0
2017-05-23T00:13:21Z,4,tele/esp/soil/3,0.012
2017-05-23T00:13:51Z,886,tele/esp/soil/1,2.658
2017-05-23T00:13:51Z,0,tele/esp/soil/2,0
2017-05-23T00:13:51Z,17,tele/esp/soil/3,0.051000000000000004
2017-05-23T00:14:21Z,885,tele/esp/soil/1,2.6550000000000002
2017-05-23T00:14:21Z,0,tele/esp/soil/2,0
2017-05-23T00:14:21Z,114,tele/esp/soil/3,0.342
2017-05-23T00:14:51Z,880,tele/esp/soil/1,2.64
2017-05-23T00:14:51Z,0,tele/esp/soil/2,0
2017-05-23T00:14:51Z,1108,tele/esp/soil/3,3.3240000000000003
2017-05-23T00:15:21Z,877,tele/esp/soil/1,2.6310000000000002
2017-05-23T00:15:21Z,0,tele/esp/soil/2,0
